rc_11,rc_14,rc_15,rc_26,rc_37,profit
0.6,0.6,0.5,0.6,0.5,30.206442735761332
0.425,0.77,0.639,0.559,0.294,24.958788434460768
0.294,0.235,0.72,0.561,0.625,16.992694040809678
0.212,0.782,0.699,0.327,0.309,17.643660570311813
0.31,0.383,0.515,0.459,0.375,22.395600815611488
0.567,0.284,0.375,0.42,0.474,18.355822868625395
0.671,0.32,0.509,0.555,0.228,15.953882537748937
0.565,0.302,0.239,0.769,0.779,19.93268030117521
0.685,0.383,0.259,0.611,0.464,19.33435471341609
0.273,0.497,0.221,0.746,0.355,16.68762358496503
0.598,0.387,0.512,0.528,0.311,21.313629859589472
0.782,0.665,0.764,0.737,0.559,36.74002189836259
0.753,0.253,0.318,0.227,0.395,14.0995870630099
0.433,0.363,0.697,0.414,0.369,22.125343411318656
0.526,0.285,0.681,0.245,0.792,15.685596929346787
0.663,0.319,0.203,0.689,0.624,17.9580766005403
0.637,0.663,0.244,0.415,0.27,15.832606289194226
0.718,0.574,0.399,0.238,0.387,17.429718847001702
0.395,0.638,0.583,0.732,0.483,30.861634990386158
0.272,0.628,0.656,0.537,0.663,29.380846949127708
0.496,0.514,0.457,0.215,0.265,15.423435933141805
0.219,0.582,0.389,0.505,0.745,23.03334074634739
0.35,0.446,0.653,0.337,0.246,19.125896487217155
0.374,0.297,0.758,0.685,0.58,20.25137053124841
0.723,0.682,0.312,0.736,0.524,27.34573495691469
0.684,0.738,0.391,0.266,0.337,20.400583830475224
0.456,0.691,0.716,0.204,0.506,20.398892907289994
0.45,0.333,0.272,0.403,0.766,18.72922676051614
0.394,0.511,0.622,0.418,0.783,27.089845102935914
0.777,0.351,0.498,0.381,0.371,21.7086769656502
0.222,0.566,0.502,0.231,0.367,17.36516344267996
0.745,0.344,0.287,0.494,0.791,23.740410400232836
0.345,0.603,0.657,0.343,0.637,24.669943121577926
0.421,0.579,0.58,0.521,0.254,24.53106059781926
0.701,0.392,0.312,0.224,0.555,15.824575027356158
0.607,0.21,0.507,0.336,0.587,17.411025742165407
0.305,0.615,0.432,0.762,0.283,21.345507980596977
0.405,0.268,0.755,0.726,0.355,16.961226297827505
0.596,0.69,0.533,0.518,0.345,25.802717147995132
0.256,0.738,0.74,0.58,0.403,25.685959541062115
0.41,0.636,0.738,0.732,0.668,34.94153227996032
0.585,0.25,0.297,0.739,0.564,17.286903356570203
0.206,0.261,0.598,0.203,0.296,13.58029607739185
0.529,0.615,0.591,0.335,0.627,24.487781356066822
0.342,0.395,0.648,0.59,0.71,28.32149306466492
0.595,0.541,0.256,0.421,0.359,20.136502343963127
0.346,0.784,0.436,0.735,0.579,27.59314237946766
0.677,0.502,0.546,0.496,0.317,24.161142616625018
0.633,0.368,0.215,0.587,0.306,16.98734590366744
0.764,0.772,0.749,0.422,0.209,24.43626779979581
0.757,0.457,0.78,0.778,0.712,31.80646871915497
0.377,0.431,0.711,0.39,0.302,21.61522395879608
0.534,0.762,0.618,0.542,0.258,25.888498110100187
0.569,0.794,0.284,0.511,0.726,30.438321037595248
0.644,0.618,0.621,0.416,0.376,27.357495860824372
0.686,0.686,0.72,0.748,0.507,42.92987067584611
0.501,0.679,0.59,0.621,0.677,36.76898570097174
0.734,0.403,0.425,0.256,0.547,18.0919657149597
0.222,0.479,0.526,0.372,0.554,22.12459069302214
0.218,0.222,0.694,0.416,0.276,14.13595219176492
0.513,0.662,0.329,0.574,0.251,20.15646543317716
0.231,0.519,0.524,0.582,0.636,27.847366611457367
0.786,0.51,0.394,0.677,0.362,24.746596216076924
0.463,0.247,0.215,0.778,0.702,17.002771002269757
0.618,0.445,0.304,0.294,0.35,19.768404439790952
0.53,0.629,0.596,0.368,0.773,25.333619632337108
0.643,0.533,0.567,0.452,0.349,32.30276119565308
0.414,0.655,0.209,0.27,0.228,16.562950926886586
0.224,0.713,0.622,0.485,0.259,18.15348335722253
0.495,0.484,0.304,0.46,0.439,23.444665441833966
0.57,0.581,0.227,0.425,0.576,22.373096507522437
0.502,0.714,0.595,0.298,0.242,20.34209488593078
0.585,0.216,0.551,0.764,0.545,15.8439993256833
0.433,0.586,0.475,0.527,0.765,29.906777997610423
0.432,0.777,0.743,0.317,0.242,20.42935413068291
0.26,0.211,0.257,0.61,0.243,12.52788555569977
0.391,0.707,0.214,0.689,0.369,17.931845285037525
0.271,0.618,0.577,0.726,0.641,26.554656178245658
0.682,0.369,0.306,0.65,0.684,22.79866090685766
0.794,0.448,0.423,0.666,0.404,31.255098108582175
0.758,0.715,0.457,0.651,0.653,38.65262198988342
0.262,0.742,0.503,0.696,0.392,20.317024543902644
0.737,0.434,0.207,0.743,0.255,15.952533125029406
0.392,0.77,0.77,0.544,0.579,30.677455453169735
0.469,0.376,0.397,0.604,0.651,26.66326104588364
0.675,0.674,0.255,0.497,0.235,18.539836285487514
0.53,0.465,0.733,0.411,0.27,22.96115800411783
0.286,0.657,0.571,0.261,0.25,17.84276590153846
0.621,0.244,0.693,0.624,0.249,14.824244664597831
0.251,0.792,0.425,0.422,0.688,22.666647267537446
0.768,0.792,0.652,0.426,0.25,25.712221291781283
0.666,0.535,0.455,0.744,0.267,20.503136909321327
0.496,0.207,0.481,0.234,0.271,13.297322016521857
0.271,0.59,0.648,0.55,0.777,27.79722785729468
0.425,0.371,0.721,0.334,0.778,24.541251278704134
0.207,0.782,0.226,0.735,0.517,21.320340455024546
0.796,0.244,0.532,0.782,0.514,18.226598614298048
0.578,0.617,0.473,0.577,0.551,30.675976872408018
0.741,0.227,0.369,0.77,0.734,28.260383629526178
0.473,0.572,0.366,0.313,0.478,26.48695034124381
0.412,0.55,0.247,0.785,0.792,26.23950020169293
0.619,0.522,0.386,0.688,0.611,30.332684763030667
0.298,0.747,0.694,0.77,0.635,30.170817359907925
0.568,0.451,0.76,0.72,0.227,18.700242625170077
0.216,0.426,0.686,0.792,0.29,16.900252159363518
0.556,0.429,0.782,0.705,0.703,31.105016484667512
0.481,0.449,0.364,0.234,0.719,16.945862473557924
0.688,0.8,0.798,0.533,0.661,38.7254985103866
0.767,0.71,0.348,0.47,0.277,30.320322027158564
0.772,0.564,0.337,0.603,0.571,31.39485180324122
0.415,0.268,0.603,0.512,0.663,20.14704563816429
0.512,0.711,0.531,0.537,0.726,33.17359041401501
0.442,0.28,0.217,0.653,0.572,17.001713013215454
0.622,0.328,0.282,0.209,0.41,14.387635085125883
0.554,0.435,0.462,0.742,0.409,24.63337521682214
0.508,0.67,0.438,0.573,0.717,35.31604260873403
0.77,0.288,0.756,0.495,0.355,18.4239575305131
0.475,0.788,0.496,0.397,0.58,27.67595564370817
0.344,0.246,0.277,0.277,0.291,14.654262893840365
0.283,0.585,0.309,0.407,0.738,25.620230126598994
0.484,0.601,0.303,0.315,0.225,17.06045457267029
0.301,0.367,0.306,0.253,0.272,16.539354204754943
0.476,0.324,0.419,0.502,0.614,24.97611681374458
0.224,0.68,0.577,0.249,0.724,22.234412922016006
0.753,0.237,0.366,0.684,0.649,17.265381025442075
0.311,0.326,0.422,0.491,0.571,21.576193412086916
0.421,0.478,0.648,0.222,0.351,18.02353242980202
0.628,0.737,0.507,0.519,0.264,30.604821995827272
0.468,0.52,0.345,0.362,0.426,22.956977299550758
0.212,0.393,0.327,0.396,0.272,15.405095533999857
0.734,0.556,0.607,0.674,0.499,31.85004847340523
0.252,0.522,0.552,0.647,0.459,23.08179881866369
0.277,0.37,0.418,0.588,0.542,24.4760717796116
0.414,0.792,0.563,0.342,0.261,20.689778119377525
0.292,0.348,0.296,0.312,0.371,18.06460143859307
0.304,0.738,0.248,0.515,0.446,20.090798795315187
0.789,0.267,0.439,0.782,0.719,19.708524746157657
0.69,0.355,0.303,0.601,0.758,32.698590957631126
0.534,0.543,0.368,0.662,0.312,21.548392740418123
0.394,0.455,0.505,0.345,0.269,19.80413550388347
0.566,0.373,0.549,0.293,0.489,21.15689788669997
0.52,0.231,0.402,0.281,0.238,15.551928874034441
0.794,0.393,0.686,0.353,0.609,22.895730892999207
0.656,0.557,0.483,0.447,0.409,27.975806706518174
0.758,0.698,0.779,0.275,0.639,22.498433813014852
0.763,0.309,0.24,0.645,0.545,20.35123281982279
0.705,0.284,0.677,0.321,0.298,18.164742336459664
0.299,0.689,0.599,0.514,0.415,23.636586859044694
0.726,0.435,0.69,0.463,0.426,26.62578342346546
0.478,0.381,0.649,0.502,0.339,21.66802069240767
0.74,0.43,0.526,0.744,0.575,27.780229203856038
0.27,0.764,0.577,0.401,0.284,21.449169336773014
0.676,0.572,0.52,0.736,0.673,35.890107427640274
0.291,0.387,0.349,0.646,0.22,15.807375101309834
0.542,0.657,0.726,0.405,0.693,31.71900732872381
0.266,0.708,0.276,0.438,0.678,23.485000865323904
0.29,0.338,0.633,0.632,0.585,21.31539009728135
0.616,0.526,0.351,0.407,0.309,21.498850581494278
0.745,0.55,0.441,0.477,0.768,31.191210363007688
0.292,0.552,0.504,0.567,0.211,18.12611339213858
0.723,0.759,0.539,0.618,0.753,38.199401495094605
0.624,0.292,0.546,0.564,0.454,19.99585518790098
0.642,0.761,0.755,0.471,0.268,27.939929499922727
0.791,0.703,0.275,0.753,0.722,31.774607504349753
0.511,0.555,0.439,0.233,0.401,18.08253608238679
0.682,0.203,0.4,0.439,0.522,15.910964456082644
0.752,0.408,0.408,0.643,0.471,25.02845473962423
0.335,0.471,0.285,0.306,0.499,18.91848796409849
0.451,0.749,0.417,0.548,0.579,34.45499430191618
0.208,0.598,0.307,0.777,0.289,17.432910151910797
0.449,0.251,0.798,0.501,0.557,22.680259795028352
0.24,0.65,0.326,0.739,0.323,16.869678790824718
0.314,0.222,0.483,0.539,0.239,13.501230174588905
0.665,0.472,0.515,0.464,0.44,26.751422070941853
0.536,0.293,0.309,0.717,0.768,20.889279735132547
0.424,0.362,0.586,0.445,0.215,17.833999619319364
0.294,0.63,0.595,0.216,0.333,16.933741926412097
0.339,0.603,0.212,0.262,0.68,15.04097790832272
0.307,0.592,0.343,0.26,0.346,17.412939021754752
0.633,0.713,0.698,0.438,0.601,31.21465675119808
0.323,0.376,0.738,0.208,0.251,15.683441704542844
0.325,0.216,0.309,0.55,0.453,14.464403689446385
0.736,0.69,0.405,0.356,0.428,25.89134134803192
0.554,0.361,0.574,0.446,0.531,24.56303601602989
0.462,0.377,0.769,0.658,0.284,22.427587487769614
0.721,0.492,0.737,0.68,0.455,29.890623830315985
0.213,0.361,0.525,0.58,0.355,19.369333023613947
0.284,0.701,0.791,0.515,0.303,22.70127747524343
0.363,0.211,0.749,0.271,0.546,13.950500923480988
0.364,0.533,0.591,0.698,0.324,22.761948646672792
0.207,0.282,0.74,0.724,0.558,18.14967387418555
0.56,0.599,0.305,0.749,0.451,25.57712968255314
0.43,0.511,0.228,0.3,0.643,21.247551963758745
0.25,0.562,0.347,0.434,0.373,19.273896482031045
0.413,0.631,0.378,0.54,0.486,26.929860088029773
0.598,0.762,0.64,0.329,0.219,21.140969989529502
0.357,0.557,0.231,0.498,0.558,17.66317149122079
0.401,0.663,0.264,0.245,0.637,18.741102973988713
0.497,0.613,0.461,0.348,0.691,23.626141723024137
0.68,0.617,0.363,0.554,0.417,25.079794156980793
0.255,0.75,0.282,0.77,0.468,19.90549793304584
0.311,0.525,0.724,0.639,0.684,28.188782351007305
0.595,0.615,0.71,0.35,0.494,24.758352927965326
0.333,0.793,0.766,0.224,0.623,20.49599673978005
0.755,0.308,0.541,0.749,0.22,16.239500270983548
0.618,0.378,0.755,0.783,0.767,26.602323034181644
0.485,0.717,0.707,0.391,0.697,27.900020585299167
0.222,0.558,0.338,0.272,0.246,16.240845338040174
0.618,0.404,0.635,0.239,0.389,17.790507636126623
0.524,0.674,0.391,0.576,0.732,33.68193950728124
0.57,0.34,0.215,0.722,0.213,14.048143125038608
0.725,0.517,0.763,0.679,0.799,34.12887339466958
0.41,0.66,0.441,0.488,0.577,29.134138437262266
0.724,0.79,0.661,0.451,0.453,30.740265771565944
0.643,0.343,0.266,0.413,0.372,22.129790470921733
0.378,0.34,0.225,0.211,0.793,14.658247465126834
0.457,0.431,0.608,0.331,0.77,22.764608594394556
0.672,0.254,0.451,0.727,0.767,19.31535604145971
0.48,0.568,0.3,0.795,0.339,23.851288788446556
0.766,0.59,0.565,0.508,0.338,26.3340873383599
0.306,0.332,0.312,0.668,0.41,19.26276274959838
0.235,0.781,0.73,0.757,0.797,35.088300306945776
0.304,0.438,0.655,0.618,0.292,21.51525972997107
0.689,0.335,0.334,0.522,0.556,21.653853157761308
0.548,0.255,0.726,0.359,0.278,15.81237346454105
0.733,0.773,0.717,0.686,0.593,40.23719698431855
0.531,0.252,0.445,0.424,0.356,17.143072846067113
0.634,0.498,0.249,0.332,0.61,18.100260517361637
0.246,0.711,0.497,0.488,0.555,26.30596403820305
0.695,0.409,0.607,0.539,0.36,23.67964815980796
0.727,0.678,0.595,0.71,0.72,41.04914834064716
0.625,0.702,0.618,0.608,0.571,35.74660647660642
0.652,0.295,0.729,0.723,0.218,17.790391602573738
0.695,0.277,0.401,0.646,0.296,16.651065657027527
0.691,0.699,0.504,0.204,0.372,20.404597862104325
0.57,0.789,0.579,0.356,0.58,25.905856468783057
0.524,0.668,0.264,0.657,0.525,24.77188972829088
0.778,0.405,0.58,0.759,0.262,20.7771352377498
0.762,0.613,0.241,0.381,0.625,22.51916776820546
0.24,0.549,0.408,0.573,0.227,15.104494040495288
0.723,0.784,0.781,0.65,0.278,30.361687754183464
0.655,0.215,0.213,0.394,0.493,14.524327224813213
0.662,0.61,0.468,0.364,0.798,25.80560898905914
0.456,0.471,0.298,0.677,0.616,23.912045524102822
0.332,0.249,0.608,0.593,0.364,16.121078522871816
0.771,0.291,0.459,0.766,0.452,19.17664497157929
0.583,0.439,0.365,0.79,0.446,25.372680763362702
0.736,0.338,0.328,0.219,0.591,15.094682723832483
0.421,0.719,0.484,0.781,0.311,24.74313849667351
0.721,0.666,0.663,0.707,0.657,41.21007608654652
0.576,0.279,0.22,0.753,0.57,17.369511798777474
0.678,0.489,0.27,0.275,0.611,17.91543446524753
0.458,0.32,0.495,0.239,0.549,16.677529542827212
0.361,0.679,0.386,0.473,0.207,19.265163124598143
0.243,0.435,0.488,0.56,0.375,22.11037380697153
0.617,0.716,0.668,0.224,0.488,20.98929976559802
0.263,0.345,0.792,0.285,0.499,17.909773643729096
0.571,0.621,0.536,0.206,0.396,16.666728594075735
0.511,0.253,0.41,0.22,0.247,15.213137212809807
0.438,0.28,0.541,0.614,0.68,20.224991875179548
0.32,0.3,0.263,0.582,0.624,19.357239254794504
0.219,0.762,0.231,0.525,0.625,23.579544446873882
0.723,0.628,0.681,0.404,0.689,29.600352108676887
0.248,0.737,0.529,0.69,0.471,23.290779770501565
0.586,0.516,0.639,0.249,0.236,18.071470437197643
0.348,0.296,0.723,0.332,0.786,19.756118018670087
0.402,0.309,0.674,0.595,0.499,20.45023087454238
0.533,0.632,0.337,0.798,0.785,39.02791278297664
0.59,0.32,0.608,0.243,0.218,15.310850552307429
0.355,0.478,0.721,0.636,0.646,28.910851951355106
0.455,0.408,0.423,0.793,0.224,18.27185483964801
0.72,0.547,0.463,0.635,0.492,28.391578214712208
0.724,0.74,0.453,0.366,0.555,27.568282227227726
0.747,0.326,0.574,0.579,0.64,23.071526153109673
0.279,0.629,0.745,0.308,0.343,20.33851568332561
0.783,0.309,0.713,0.495,0.348,19.529154581894037
0.722,0.467,0.509,0.416,0.556,26.97423099962102
0.298,0.435,0.782,0.355,0.594,22.12278345722429
0.395,0.664,0.279,0.782,0.472,26.924294251072237
0.342,0.244,0.302,0.512,0.402,19.157838383837564
0.697,0.459,0.349,0.57,0.624,28.869335334887356
0.3,0.301,0.222,0.642,0.598,18.094600203007037
0.485,0.707,0.683,0.551,0.721,37.18008509879718
0.324,0.267,0.362,0.234,0.519,14.86775940636584
0.762,0.224,0.273,0.471,0.76,17.473991590110323
0.39,0.504,0.225,0.289,0.792,18.54296810370272
0.779,0.203,0.771,0.583,0.721,17.15136155622252
0.473,0.509,0.493,0.6,0.284,25.195788843097255
0.218,0.385,0.623,0.321,0.604,21.0956503283217
0.782,0.256,0.604,0.466,0.721,18.30164491192527
0.306,0.616,0.703,0.767,0.61,29.846589947822956
0.498,0.571,0.721,0.542,0.218,23.970007278747136
0.759,0.614,0.606,0.329,0.595,24.23186637924171
0.436,0.591,0.264,0.595,0.8,29.8526125844838
0.229,0.786,0.444,0.722,0.669,23.25911631205103
0.54,0.643,0.727,0.442,0.396,30.387226050092156
0.601,0.685,0.657,0.679,0.461,32.16290304956221
0.691,0.272,0.527,0.203,0.395,14.184328213573318
0.42,0.438,0.617,0.433,0.469,26.165753456068632
0.343,0.424,0.336,0.244,0.562,17.490140101797092
0.601,0.572,0.478,0.428,0.718,28.384335652289725
0.511,0.488,0.215,0.405,0.428,20.483743842364042
0.439,0.548,0.52,0.565,0.659,30.987484438392286
0.688,0.631,0.773,0.211,0.317,17.04826922247137
0.205,0.588,0.739,0.346,0.756,19.10624462239264
0.236,0.761,0.411,0.261,0.492,20.03138949392778
0.354,0.371,0.384,0.682,0.523,24.542830763955894
0.387,0.566,0.63,0.364,0.448,24.59372397504741
0.273,0.309,0.609,0.309,0.515,18.309767048888276
0.625,0.264,0.54,0.354,0.778,17.975411044634686
0.49,0.684,0.53,0.226,0.58,19.076487258871985
0.771,0.561,0.692,0.731,0.337,25.0406202728665
0.327,0.567,0.447,0.704,0.74,28.679895652587504
0.412,0.342,0.668,0.365,0.694,21.591304054955735
0.454,0.601,0.257,0.574,0.471,22.456840101721173
0.552,0.301,0.642,0.718,0.33,19.034516316013153
0.257,0.214,0.585,0.564,0.528,16.010009029479445
0.339,0.435,0.557,0.498,0.793,26.103766800216114
0.282,0.617,0.443,0.457,0.631,22.95066311733105
0.615,0.795,0.277,0.262,0.635,17.298338666043907
0.547,0.364,0.248,0.251,0.737,16.936283542131
0.315,0.394,0.336,0.413,0.242,17.33961040636961
0.511,0.241,0.68,0.34,0.524,22.040444912807377
0.728,0.591,0.52,0.395,0.4,26.240281054423747
0.602,0.796,0.597,0.535,0.638,35.78714189255714
0.479,0.236,0.537,0.775,0.305,15.424024658609516
0.614,0.321,0.521,0.258,0.47,24.15391685871113
0.654,0.409,0.599,0.677,0.756,28.28935691323567
0.341,0.44,0.291,0.795,0.756,25.062923056630844
0.524,0.705,0.513,0.574,0.253,24.39777503674308
0.653,0.277,0.696,0.669,0.625,21.48189096752126
0.222,0.382,0.358,0.416,0.253,16.57488639640005
0.762,0.532,0.383,0.438,0.468,25.44850895273405
